0,1
layer_1,564829.05
layer_3,564829.05
layer_5,564829.05
layer_14,564829.05
layer_54,564829.05
layer_31,564829.05
layer_41,564829.05
layer_4,564829.05
layer_32,564829.05
layer_40,564829.05
layer_22,564829.05
layer_49,564829.05
layer_2,564829.05
layer_18,564829.05
layer_69,564829.05
layer_62,564829.05
layer_19,564829.05
layer_7,564829.05
layer_72,564829.05
layer_45,564829.05
layer_21,564829.05
layer_20,564829.05
layer_51,564829.05
layer_39,564829.05
layer_53,564829.05
layer_23,564829.05
layer_43,564829.05
layer_56,564829.05
layer_37,564829.05
layer_33,564829.05
layer_65,564829.05
layer_28,564829.05
layer_55,564829.05
layer_15,564829.05
layer_29,564829.05
layer_58,564829.05
layer_48,564829.05
layer_26,564829.05
layer_52,564829.05
layer_27,564829.05
layer_71,564829.05
layer_67,564829.05
layer_6,564829.05
layer_38,564829.05
layer_8,564829.05
layer_11,564829.05
layer_12,564829.05
layer_74,564829.05
layer_13,564829.05
layer_66,564829.05
layer_75,564829.05
layer_59,564829.05
layer_63,564829.05
layer_44,564829.05
layer_9,564829.05
layer_34,564829.05
layer_57,564829.05
layer_50,564829.05
layer_16,564829.05
layer_24,564829.05
layer_60,564829.05
layer_17,564829.05
layer_64,564829.05
layer_35,564829.05
layer_73,564829.05
layer_10,564829.05
layer_47,564829.05
layer_36,564829.05
layer_61,564829.05
layer_30,564829.05
layer_42,564829.05
layer_46,564829.05
layer_68,564829.05
layer_25,564829.05
layer_70,564829.05
