

### Centroids within bounding box (Lat -10 to 10, Lon 100 to 120)
                              0                                        1
HYP_HR_SR_OB_DR_10_34__layer_66  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_71  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_72  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_74  [105.86666693910956, 8.933332990854979]
 HYP_HR_SR_OB_DR_11_34__layer_1 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_34__layer_5 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_34__layer_7 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_23 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_27 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_33 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_36 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_49 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_54 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_62 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_63 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_64 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_67 [105.86666693910956, 0.3999999677762389]
 HYP_HR_SR_OB_DR_12_34__layer_1 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_20 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_28 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_29 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_33 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_34 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_35 [105.86666693910956, -8.133333013392985]
 HYP_HR_SR_OB_DR_11_35__layer_3 [114.39999992027879, 0.3999999677762389]
 HYP_HR_SR_OB_DR_11_35__layer_5 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_19 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_39 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_45 [114.39999992027879, 0.3999999677762389]
